query_id,filter_expr,chosen_strategy,chosen_index,actual_recall,latency_ms,fallback
q_04948,rare_tag = 'X' AND attr = 'Z',root search,root,0.938,0.81,否
q_04949,city = 'Beijing',root search,root,0.955,1.03,否
q_04950,"age ∈ [20,60] AND gender = 'M'",root search,root,0.945,1.41,否
q_04951,"age ∈ [20,60] AND attr = 'D'",upward search,attr = B → root,0.98,1.47,否
q_04952,"age ∈ [20,60] AND attr = 'D'",root search,root,0.972,1.26,否
q_04953,"age ∈ [20,60] AND attr = 'D'",root search,root,0.964,1.34,否
q_04954,rare_tag = 'X' AND attr = 'Z',upward search,attr = D → root,0.977,0.4,否
q_04955,"age ∈ [20,60] AND country = 'US'",root search,root,0.946,0.53,否
q_04956,"age ∈ [20,60] AND attr = 'D'",upward search,attr = D → root,0.941,0.95,否
q_04957,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.96,0.56,否
q_04958,department = 'R&D',root search,root,0.925,0.36,否
q_04959,rare_tag = 'X' AND attr = 'Z',covering search,attr = income,0.966,0.91,否
q_04960,city = 'Beijing',root search,root,0.948,0.2,否
q_04961,city = 'Beijing',covering search,attr = income,0.934,1.08,否
q_04962,rare_tag = 'X' AND attr = 'Z',upward search,attr = D → root,0.963,0.89,否
q_04963,department = 'R&D',root search,root,0.945,0.23,否
q_04964,"age ∈ [20,60] AND attr = 'D'",root search,root,0.972,0.22,否
q_04965,department = 'R&D',upward search,attr = D → root,0.98,0.44,否
q_04966,"age ∈ [20,60] AND attr = 'D'",root search,root,0.939,1.05,否
q_04967,department = 'R&D',root search,root,0.964,0.52,否
q_04968,"age ∈ [20,60] AND country = 'US'",root search,root,0.944,0.6,否
q_04969,rare_tag = 'X' AND attr = 'Z',upward search,attr = B → root,0.92,1.43,否
q_04970,"age ∈ [20,60] AND gender = 'M'",covering search,attr = country,0.964,1.33,否
q_04971,"age ∈ [20,60] AND gender = 'M'",root search,root,0.932,0.28,否
q_04972,"age ∈ [20,60] AND gender = 'M'",covering search,attr = country,0.947,1.28,否
q_04973,"age ∈ [20,60] AND gender = 'M'",covering search,attr = age,0.925,0.56,否
q_04974,city = 'Beijing',brute-force fallback,N/A,0.951,5.75,是
q_04975,city = 'Beijing',upward search,attr = D → root,0.965,0.85,否
q_04976,department = 'R&D',root search,root,0.948,1.05,否
q_04977,department = 'R&D',covering search,attr = country,0.926,1.02,否
q_04978,city = 'Beijing',root search,root,0.966,1.42,否
q_04979,rare_tag = 'X' AND attr = 'Z',covering search,attr = age,0.963,0.54,否
q_04980,"age ∈ [20,60] AND attr = 'D'",covering search,attr = country,0.948,0.88,否
q_04981,"age ∈ [20,60] AND gender = 'M'",upward search,attr = D → root,0.925,1.45,否
q_04982,"age ∈ [20,60] AND attr = 'D'",root search,root,0.952,1.12,否
q_04983,city = 'Beijing',root search,root,0.953,1.08,否
q_04984,rare_tag = 'X' AND attr = 'Z',upward search,attr = D → root,0.948,1.21,否
q_04985,"age ∈ [20,60] AND gender = 'M'",covering search,attr = country,0.934,0.35,否
q_04986,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = age,0.953,0.87,否
q_04987,"income ∈ [50k, 100k] AND hobby = 'Music'",upward search,attr = D → root,0.928,0.46,否
q_04988,department = 'R&D',covering search,attr = country,0.958,0.7,否
q_04989,department = 'R&D',covering search,attr = age,0.952,0.83,否
q_04990,"age ∈ [20,60] AND gender = 'M'",upward search,attr = B → root,0.973,0.93,否
q_04991,"age ∈ [20,60] AND gender = 'M'",root search,root,0.931,0.57,否
q_04992,"age ∈ [20,60] AND country = 'US'",root search,root,0.963,0.68,否
q_04993,department = 'R&D',root search,root,0.978,0.24,否
q_04994,"age ∈ [20,60] AND attr = 'D'",root search,root,0.96,0.58,否
q_04995,city = 'Beijing',upward search,attr = D → root,0.973,1.45,否
q_04996,department = 'R&D',root search,root,0.927,0.96,否
q_04997,"income ∈ [50k, 100k] AND hobby = 'Music'",upward search,attr = B → root,0.953,1.3,否
q_04998,"age ∈ [20,60] AND country = 'US'",root search,root,0.948,0.71,否
q_04999,"age ∈ [20,60] AND country = 'US'",covering search,attr = income,0.924,1.01,否
q_05000,rare_tag = 'X' AND attr = 'Z',root search,root,0.971,1.39,否
q_05001,"age ∈ [20,60] AND country = 'US'",root search,root,0.976,1.43,否
q_05002,"age ∈ [20,60] AND gender = 'M'",root search,root,0.964,1.29,否
q_05003,department = 'R&D',upward search,attr = D → root,0.943,0.21,否
q_05004,city = 'Beijing',brute-force fallback,N/A,0.944,2.19,是
q_05005,department = 'R&D',brute-force fallback,N/A,0.975,5.07,是
q_05006,city = 'Beijing',upward search,attr = B → root,0.971,1.11,否
q_05007,rare_tag = 'X' AND attr = 'Z',covering search,attr = country,0.972,0.95,否
q_05008,department = 'R&D',root search,root,0.938,0.29,否
q_05009,"age ∈ [20,60] AND attr = 'D'",root search,root,0.975,1.16,否
q_05010,department = 'R&D',covering search,attr = age,0.969,0.61,否
q_05011,city = 'Beijing',root search,root,0.926,1.39,否
q_05012,"age ∈ [20,60] AND country = 'US'",root search,root,0.942,1.25,否
q_05013,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = country,0.937,1.13,否
q_05014,"age ∈ [20,60] AND country = 'US'",root search,root,0.972,1.0,否
q_05015,"age ∈ [20,60] AND attr = 'D'",root search,root,0.953,0.32,否
q_05016,department = 'R&D',root search,root,0.927,1.19,否
q_05017,"income ∈ [50k, 100k] AND hobby = 'Music'",upward search,attr = B → root,0.966,0.4,否
q_05018,department = 'R&D',covering search,attr = country,0.967,1.31,否
q_05019,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.935,0.64,否
q_05020,department = 'R&D',upward search,attr = D → root,0.928,1.2,否
q_05021,"income ∈ [50k, 100k] AND hobby = 'Music'",upward search,attr = B → root,0.968,0.37,否
q_05022,department = 'R&D',covering search,attr = country,0.95,0.33,否
q_05023,city = 'Beijing',root search,root,0.943,1.42,否
q_05024,"age ∈ [20,60] AND country = 'US'",root search,root,0.969,0.8,否
q_05025,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.921,0.58,否
q_05026,department = 'R&D',root search,root,0.964,1.49,否
q_05027,"income ∈ [50k, 100k] AND hobby = 'Music'",upward search,attr = B → root,0.948,0.25,否
q_05028,"age ∈ [20,60] AND gender = 'M'",root search,root,0.922,0.46,否
q_05029,"income ∈ [50k, 100k] AND hobby = 'Music'",upward search,attr = D → root,0.942,1.25,否
q_05030,"income ∈ [50k, 100k] AND hobby = 'Music'",upward search,attr = D → root,0.949,1.14,否
q_05031,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.939,1.47,否
q_05032,department = 'R&D',covering search,attr = age,0.973,0.59,否
q_05033,"age ∈ [20,60] AND attr = 'D'",root search,root,0.95,0.62,否
q_05034,city = 'Beijing',covering search,attr = income,0.923,0.93,否
q_05035,department = 'R&D',root search,root,0.965,1.09,否
q_05036,city = 'Beijing',root search,root,0.974,0.44,否
q_05037,"age ∈ [20,60] AND attr = 'D'",covering search,attr = age,0.947,0.76,否
q_05038,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.959,0.69,否
q_05039,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.977,1.32,否
q_05040,"age ∈ [20,60] AND attr = 'D'",covering search,attr = age,0.964,1.46,否
q_05041,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.961,0.67,否
q_05042,rare_tag = 'X' AND attr = 'Z',root search,root,0.946,0.86,否
q_05043,"age ∈ [20,60] AND gender = 'M'",covering search,attr = income,0.974,1.1,否
q_05044,rare_tag = 'X' AND attr = 'Z',upward search,attr = B → root,0.955,0.5,否
q_05045,"age ∈ [20,60] AND attr = 'D'",root search,root,0.967,1.21,否
q_05046,"age ∈ [20,60] AND attr = 'D'",root search,root,0.967,1.09,否
q_05047,rare_tag = 'X' AND attr = 'Z',brute-force fallback,N/A,0.983,3.9,是
q_05048,"age ∈ [20,60] AND country = 'US'",covering search,attr = age,0.977,0.63,否
q_05049,"income ∈ [50k, 100k] AND hobby = 'Music'",upward search,attr = B → root,0.967,0.61,否
q_05050,"age ∈ [20,60] AND country = 'US'",covering search,attr = income,0.945,0.28,否
q_05051,rare_tag = 'X' AND attr = 'Z',covering search,attr = income,0.95,0.64,否
q_05052,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.971,0.96,否
q_05053,city = 'Beijing',upward search,attr = B → root,0.929,0.44,否
q_05054,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.965,0.37,否
q_05055,city = 'Beijing',upward search,attr = D → root,0.962,0.43,否
q_05056,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = age,0.926,0.3,否
q_05057,"age ∈ [20,60] AND attr = 'D'",covering search,attr = country,0.973,0.75,否
q_05058,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.926,0.41,否
q_05059,city = 'Beijing',upward search,attr = B → root,0.927,0.55,否
q_05060,rare_tag = 'X' AND attr = 'Z',covering search,attr = country,0.934,0.69,否
q_05061,department = 'R&D',brute-force fallback,N/A,0.959,4.31,是
q_05062,department = 'R&D',root search,root,0.968,0.44,否
q_05063,"age ∈ [20,60] AND country = 'US'",upward search,attr = B → root,0.98,1.48,否
q_05064,"age ∈ [20,60] AND gender = 'M'",upward search,attr = D → root,0.98,1.36,否
q_05065,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.936,1.28,否
q_05066,rare_tag = 'X' AND attr = 'Z',root search,root,0.922,0.29,否
q_05067,department = 'R&D',covering search,attr = age,0.975,1.25,否
q_05068,city = 'Beijing',root search,root,0.947,1.21,否
q_05069,"age ∈ [20,60] AND country = 'US'",upward search,attr = D → root,0.976,0.58,否
q_05070,city = 'Beijing',root search,root,0.945,0.8,否
q_05071,"age ∈ [20,60] AND attr = 'D'",root search,root,0.943,0.49,否
q_05072,department = 'R&D',root search,root,0.946,0.93,否
q_05073,"income ∈ [50k, 100k] AND hobby = 'Music'",upward search,attr = D → root,0.975,0.21,否
q_05074,rare_tag = 'X' AND attr = 'Z',root search,root,0.922,0.72,否
q_05075,"age ∈ [20,60] AND attr = 'D'",brute-force fallback,N/A,0.934,5.52,是
q_05076,rare_tag = 'X' AND attr = 'Z',covering search,attr = country,0.94,1.11,否
q_05077,rare_tag = 'X' AND attr = 'Z',root search,root,0.933,0.8,否
q_05078,department = 'R&D',root search,root,0.95,0.9,否
q_05079,rare_tag = 'X' AND attr = 'Z',root search,root,0.927,0.7,否
q_05080,"age ∈ [20,60] AND gender = 'M'",root search,root,0.938,1.2,否
q_05081,"age ∈ [20,60] AND gender = 'M'",upward search,attr = D → root,0.97,1.13,否
q_05082,"age ∈ [20,60] AND country = 'US'",covering search,attr = income,0.969,0.79,否
q_05083,"age ∈ [20,60] AND country = 'US'",root search,root,0.938,1.47,否
q_05084,"age ∈ [20,60] AND attr = 'D'",covering search,attr = country,0.965,0.96,否
q_05085,"age ∈ [20,60] AND country = 'US'",root search,root,0.92,1.32,否
q_05086,department = 'R&D',covering search,attr = age,0.945,0.84,否
q_05087,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.971,0.23,否
q_05088,"age ∈ [20,60] AND gender = 'M'",root search,root,0.96,1.4,否
q_05089,department = 'R&D',covering search,attr = age,0.956,0.42,否
q_05090,"age ∈ [20,60] AND attr = 'D'",upward search,attr = B → root,0.973,0.51,否
q_05091,"age ∈ [20,60] AND attr = 'D'",root search,root,0.953,1.39,否
q_05092,city = 'Beijing',covering search,attr = age,0.941,0.45,否
q_05093,"age ∈ [20,60] AND gender = 'M'",root search,root,0.977,0.52,否
q_05094,city = 'Beijing',root search,root,0.969,1.38,否
q_05095,"age ∈ [20,60] AND attr = 'D'",upward search,attr = D → root,0.927,1.35,否
q_05096,"age ∈ [20,60] AND attr = 'D'",root search,root,0.937,1.24,否
q_05097,"age ∈ [20,60] AND gender = 'M'",covering search,attr = age,0.971,0.96,否
q_05098,department = 'R&D',upward search,attr = B → root,0.962,0.47,否
q_05099,department = 'R&D',root search,root,0.935,1.34,否
q_05100,city = 'Beijing',root search,root,0.944,0.41,否
q_05101,"age ∈ [20,60] AND gender = 'M'",covering search,attr = country,0.922,0.93,否
q_05102,"age ∈ [20,60] AND country = 'US'",upward search,attr = D → root,0.927,1.28,否
q_05103,department = 'R&D',upward search,attr = B → root,0.925,1.34,否
q_05104,department = 'R&D',root search,root,0.94,0.98,否
q_05105,department = 'R&D',root search,root,0.957,1.0,否
q_05106,"age ∈ [20,60] AND gender = 'M'",brute-force fallback,N/A,0.94,5.87,是
q_05107,"age ∈ [20,60] AND gender = 'M'",root search,root,0.949,0.6,否
q_05108,city = 'Beijing',root search,root,0.924,0.22,否
q_05109,department = 'R&D',root search,root,0.972,1.03,否
q_05110,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = income,0.957,1.24,否
q_05111,city = 'Beijing',covering search,attr = income,0.947,1.11,否
q_05112,"age ∈ [20,60] AND attr = 'D'",root search,root,0.934,0.72,否
q_05113,department = 'R&D',brute-force fallback,N/A,0.996,3.89,是
q_05114,department = 'R&D',root search,root,0.951,1.39,否
q_05115,"age ∈ [20,60] AND gender = 'M'",root search,root,0.974,0.38,否
q_05116,rare_tag = 'X' AND attr = 'Z',root search,root,0.946,0.78,否
q_05117,"age ∈ [20,60] AND gender = 'M'",upward search,attr = D → root,0.954,0.41,否
q_05118,rare_tag = 'X' AND attr = 'Z',upward search,attr = B → root,0.939,0.38,否
q_05119,city = 'Beijing',root search,root,0.962,0.28,否
q_05120,department = 'R&D',covering search,attr = income,0.941,0.61,否
q_05121,"age ∈ [20,60] AND country = 'US'",root search,root,0.966,0.33,否
q_05122,"age ∈ [20,60] AND attr = 'D'",covering search,attr = age,0.96,0.26,否
q_05123,"income ∈ [50k, 100k] AND hobby = 'Music'",upward search,attr = B → root,0.958,0.54,否
q_05124,city = 'Beijing',covering search,attr = income,0.962,0.53,否
q_05125,"age ∈ [20,60] AND gender = 'M'",root search,root,0.95,0.51,否
q_05126,"age ∈ [20,60] AND country = 'US'",upward search,attr = B → root,0.962,0.9,否
q_05127,city = 'Beijing',root search,root,0.964,1.46,否
q_05128,rare_tag = 'X' AND attr = 'Z',root search,root,0.949,0.25,否
q_05129,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = country,0.932,0.47,否
q_05130,city = 'Beijing',root search,root,0.955,1.48,否
q_05131,"age ∈ [20,60] AND gender = 'M'",covering search,attr = income,0.972,1.43,否
q_05132,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.963,1.07,否
q_05133,"age ∈ [20,60] AND attr = 'D'",brute-force fallback,N/A,0.934,4.08,是
q_05134,department = 'R&D',covering search,attr = income,0.964,0.89,否
q_05135,rare_tag = 'X' AND attr = 'Z',upward search,attr = D → root,0.978,0.62,否
q_05136,department = 'R&D',covering search,attr = income,0.928,1.23,否
q_05137,rare_tag = 'X' AND attr = 'Z',root search,root,0.936,0.83,否
q_05138,department = 'R&D',covering search,attr = age,0.942,1.4,否
q_05139,"age ∈ [20,60] AND country = 'US'",upward search,attr = B → root,0.964,0.3,否
q_05140,city = 'Beijing',covering search,attr = country,0.93,0.44,否
q_05141,department = 'R&D',root search,root,0.926,0.44,否
q_05142,"age ∈ [20,60] AND country = 'US'",upward search,attr = B → root,0.93,1.35,否
q_05143,city = 'Beijing',root search,root,0.953,0.45,否
q_05144,city = 'Beijing',upward search,attr = D → root,0.925,1.43,否
q_05145,city = 'Beijing',upward search,attr = B → root,0.925,0.94,否
q_05146,"age ∈ [20,60] AND gender = 'M'",root search,root,0.967,0.99,否
q_05147,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = age,0.97,0.78,否
q_05148,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.92,1.39,否
q_05149,department = 'R&D',upward search,attr = D → root,0.978,0.67,否
q_05150,"age ∈ [20,60] AND gender = 'M'",root search,root,0.949,0.57,否
q_05151,"age ∈ [20,60] AND country = 'US'",root search,root,0.934,0.3,否
q_05152,"age ∈ [20,60] AND gender = 'M'",upward search,attr = D → root,0.935,1.19,否
q_05153,city = 'Beijing',covering search,attr = age,0.93,1.29,否
q_05154,rare_tag = 'X' AND attr = 'Z',root search,root,0.933,1.31,否
q_05155,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = age,0.976,0.39,否
q_05156,"age ∈ [20,60] AND gender = 'M'",covering search,attr = income,0.944,0.72,否
q_05157,"age ∈ [20,60] AND country = 'US'",brute-force fallback,N/A,0.959,5.36,是
q_05158,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = age,0.943,0.48,否
q_05159,"age ∈ [20,60] AND attr = 'D'",covering search,attr = age,0.921,0.62,否
q_05160,city = 'Beijing',covering search,attr = income,0.945,0.78,否
q_05161,city = 'Beijing',covering search,attr = age,0.96,0.47,否
q_05162,city = 'Beijing',upward search,attr = B → root,0.927,1.04,否
q_05163,"age ∈ [20,60] AND attr = 'D'",upward search,attr = B → root,0.963,1.45,否
q_05164,city = 'Beijing',root search,root,0.963,0.71,否
q_05165,department = 'R&D',root search,root,0.937,1.39,否
q_05166,city = 'Beijing',root search,root,0.948,1.06,否
q_05167,"age ∈ [20,60] AND attr = 'D'",root search,root,0.949,0.75,否
q_05168,"age ∈ [20,60] AND gender = 'M'",brute-force fallback,N/A,0.959,4.77,是
q_05169,rare_tag = 'X' AND attr = 'Z',upward search,attr = B → root,0.931,1.47,否
q_05170,"income ∈ [50k, 100k] AND hobby = 'Music'",upward search,attr = D → root,0.948,1.32,否
q_05171,rare_tag = 'X' AND attr = 'Z',root search,root,0.946,1.5,否
q_05172,"income ∈ [50k, 100k] AND hobby = 'Music'",upward search,attr = D → root,0.93,1.11,否
q_05173,city = 'Beijing',root search,root,0.937,0.48,否
q_05174,department = 'R&D',root search,root,0.936,1.2,否
q_05175,"age ∈ [20,60] AND attr = 'D'",root search,root,0.941,1.22,否
q_05176,rare_tag = 'X' AND attr = 'Z',upward search,attr = B → root,0.954,0.78,否
q_05177,"age ∈ [20,60] AND gender = 'M'",upward search,attr = D → root,0.942,0.58,否
q_05178,"age ∈ [20,60] AND country = 'US'",covering search,attr = age,0.943,1.19,否
q_05179,rare_tag = 'X' AND attr = 'Z',covering search,attr = age,0.937,0.81,否
q_05180,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.964,0.55,否
q_05181,"age ∈ [20,60] AND gender = 'M'",covering search,attr = country,0.94,0.85,否
q_05182,"age ∈ [20,60] AND attr = 'D'",root search,root,0.949,1.43,否
q_05183,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.964,0.5,否
q_05184,rare_tag = 'X' AND attr = 'Z',upward search,attr = D → root,0.97,0.24,否
q_05185,"income ∈ [50k, 100k] AND hobby = 'Music'",upward search,attr = D → root,0.936,0.76,否
q_05186,department = 'R&D',root search,root,0.959,0.73,否
q_05187,city = 'Beijing',root search,root,0.947,1.44,否
q_05188,"age ∈ [20,60] AND attr = 'D'",covering search,attr = age,0.947,0.72,否
q_05189,rare_tag = 'X' AND attr = 'Z',root search,root,0.965,1.3,否
q_05190,"age ∈ [20,60] AND attr = 'D'",brute-force fallback,N/A,0.991,3.03,是
q_05191,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = age,0.961,0.7,否
q_05192,rare_tag = 'X' AND attr = 'Z',root search,root,0.975,1.37,否
q_05193,"age ∈ [20,60] AND attr = 'D'",upward search,attr = B → root,0.973,0.31,否
q_05194,rare_tag = 'X' AND attr = 'Z',root search,root,0.965,0.94,否
q_05195,city = 'Beijing',brute-force fallback,N/A,0.961,5.7,是
q_05196,department = 'R&D',root search,root,0.927,1.21,否
q_05197,"age ∈ [20,60] AND gender = 'M'",root search,root,0.962,1.04,否
q_05198,"income ∈ [50k, 100k] AND hobby = 'Music'",upward search,attr = D → root,0.937,0.51,否
q_05199,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.922,1.37,否
q_05200,city = 'Beijing',root search,root,0.947,1.39,否
q_05201,city = 'Beijing',covering search,attr = age,0.922,0.83,否
q_05202,city = 'Beijing',covering search,attr = age,0.969,0.81,否
q_05203,"age ∈ [20,60] AND gender = 'M'",upward search,attr = D → root,0.931,0.44,否
q_05204,department = 'R&D',root search,root,0.949,0.95,否
q_05205,"age ∈ [20,60] AND gender = 'M'",root search,root,0.957,1.2,否
q_05206,"age ∈ [20,60] AND country = 'US'",covering search,attr = country,0.946,0.48,否
q_05207,"age ∈ [20,60] AND country = 'US'",upward search,attr = D → root,0.943,1.18,否
q_05208,city = 'Beijing',covering search,attr = income,0.961,0.42,否
q_05209,rare_tag = 'X' AND attr = 'Z',covering search,attr = country,0.965,1.48,否
q_05210,department = 'R&D',root search,root,0.939,1.49,否
q_05211,"age ∈ [20,60] AND gender = 'M'",root search,root,0.971,1.03,否
q_05212,city = 'Beijing',covering search,attr = age,0.962,0.28,否
q_05213,rare_tag = 'X' AND attr = 'Z',covering search,attr = income,0.966,1.19,否
q_05214,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = country,0.963,0.24,否
q_05215,city = 'Beijing',root search,root,0.97,1.19,否
q_05216,city = 'Beijing',root search,root,0.955,1.45,否
q_05217,"age ∈ [20,60] AND gender = 'M'",upward search,attr = B → root,0.931,1.25,否
q_05218,department = 'R&D',covering search,attr = country,0.97,0.3,否
q_05219,department = 'R&D',brute-force fallback,N/A,0.967,2.64,是
q_05220,city = 'Beijing',root search,root,0.945,0.62,否
q_05221,city = 'Beijing',upward search,attr = D → root,0.948,0.79,否
q_05222,"age ∈ [20,60] AND gender = 'M'",upward search,attr = B → root,0.969,0.6,否
q_05223,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.955,0.41,否
q_05224,"age ∈ [20,60] AND country = 'US'",root search,root,0.955,1.09,否
q_05225,"age ∈ [20,60] AND gender = 'M'",covering search,attr = country,0.966,1.44,否
q_05226,"age ∈ [20,60] AND country = 'US'",root search,root,0.956,0.23,否
q_05227,department = 'R&D',root search,root,0.954,1.47,否
q_05228,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = country,0.931,1.0,否
q_05229,"income ∈ [50k, 100k] AND hobby = 'Music'",upward search,attr = D → root,0.92,0.54,否
q_05230,city = 'Beijing',covering search,attr = income,0.934,1.39,否
q_05231,"age ∈ [20,60] AND attr = 'D'",upward search,attr = D → root,0.969,1.11,否
q_05232,"age ∈ [20,60] AND country = 'US'",upward search,attr = D → root,0.948,0.9,否
q_05233,rare_tag = 'X' AND attr = 'Z',covering search,attr = age,0.943,0.69,否
q_05234,"age ∈ [20,60] AND country = 'US'",covering search,attr = age,0.961,0.65,否
q_05235,rare_tag = 'X' AND attr = 'Z',covering search,attr = age,0.926,1.05,否
q_05236,department = 'R&D',root search,root,0.955,1.14,否
q_05237,department = 'R&D',root search,root,0.959,0.32,否
q_05238,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.966,0.35,否
q_05239,rare_tag = 'X' AND attr = 'Z',root search,root,0.979,0.74,否
q_05240,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.973,0.46,否
q_05241,rare_tag = 'X' AND attr = 'Z',covering search,attr = age,0.951,1.37,否
q_05242,"age ∈ [20,60] AND gender = 'M'",brute-force fallback,N/A,0.961,3.61,是
q_05243,rare_tag = 'X' AND attr = 'Z',covering search,attr = income,0.953,1.05,否
q_05244,department = 'R&D',upward search,attr = B → root,0.971,0.62,否
q_05245,"age ∈ [20,60] AND country = 'US'",brute-force fallback,N/A,0.989,3.83,是
q_05246,"age ∈ [20,60] AND country = 'US'",covering search,attr = country,0.978,1.44,否
q_05247,"age ∈ [20,60] AND country = 'US'",root search,root,0.948,0.56,否
q_05248,rare_tag = 'X' AND attr = 'Z',root search,root,0.92,1.42,否
q_05249,"age ∈ [20,60] AND country = 'US'",covering search,attr = country,0.973,0.7,否
q_05250,department = 'R&D',root search,root,0.948,0.71,否
q_05251,"age ∈ [20,60] AND gender = 'M'",root search,root,0.952,1.29,否
q_05252,"age ∈ [20,60] AND gender = 'M'",root search,root,0.947,1.03,否
q_05253,"income ∈ [50k, 100k] AND hobby = 'Music'",upward search,attr = D → root,0.96,1.35,否
q_05254,city = 'Beijing',root search,root,0.94,0.97,否
q_05255,city = 'Beijing',covering search,attr = country,0.935,1.5,否
q_05256,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = age,0.925,0.21,否
q_05257,department = 'R&D',upward search,attr = D → root,0.938,1.05,否
q_05258,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.956,0.96,否
q_05259,city = 'Beijing',brute-force fallback,N/A,0.996,3.83,是
q_05260,city = 'Beijing',root search,root,0.953,0.55,否
q_05261,department = 'R&D',covering search,attr = country,0.924,0.99,否
q_05262,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = age,0.928,1.18,否
q_05263,"age ∈ [20,60] AND attr = 'D'",root search,root,0.928,1.19,否
q_05264,"age ∈ [20,60] AND gender = 'M'",covering search,attr = income,0.941,1.11,否
q_05265,rare_tag = 'X' AND attr = 'Z',covering search,attr = age,0.962,1.26,否
q_05266,department = 'R&D',upward search,attr = B → root,0.961,1.46,否
q_05267,department = 'R&D',upward search,attr = B → root,0.97,1.37,否
q_05268,"age ∈ [20,60] AND gender = 'M'",covering search,attr = income,0.972,0.94,否
q_05269,city = 'Beijing',brute-force fallback,N/A,0.966,3.11,是
q_05270,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = age,0.98,1.45,否
q_05271,"age ∈ [20,60] AND gender = 'M'",root search,root,0.943,1.25,否
q_05272,rare_tag = 'X' AND attr = 'Z',covering search,attr = country,0.944,0.96,否
q_05273,rare_tag = 'X' AND attr = 'Z',root search,root,0.939,1.26,否
q_05274,department = 'R&D',brute-force fallback,N/A,0.991,5.62,是
q_05275,"age ∈ [20,60] AND gender = 'M'",root search,root,0.977,0.44,否
q_05276,city = 'Beijing',covering search,attr = age,0.978,0.93,否
q_05277,"income ∈ [50k, 100k] AND hobby = 'Music'",root search,root,0.945,0.29,否
q_05278,rare_tag = 'X' AND attr = 'Z',covering search,attr = country,0.944,0.45,否
q_05279,rare_tag = 'X' AND attr = 'Z',root search,root,0.979,1.38,否
q_05280,"age ∈ [20,60] AND country = 'US'",brute-force fallback,N/A,0.987,4.35,是
q_05281,department = 'R&D',upward search,attr = D → root,0.933,1.18,否
q_05282,department = 'R&D',upward search,attr = B → root,0.953,0.8,否
q_05283,rare_tag = 'X' AND attr = 'Z',covering search,attr = age,0.942,1.22,否
q_05284,"age ∈ [20,60] AND gender = 'M'",root search,root,0.935,0.88,否
q_05285,department = 'R&D',root search,root,0.968,1.36,否
q_05286,"age ∈ [20,60] AND gender = 'M'",upward search,attr = B → root,0.932,0.89,否
q_05287,department = 'R&D',root search,root,0.956,0.4,否
q_05288,"age ∈ [20,60] AND gender = 'M'",root search,root,0.922,1.37,否
q_05289,"age ∈ [20,60] AND gender = 'M'",root search,root,0.959,1.06,否
q_05290,"income ∈ [50k, 100k] AND hobby = 'Music'",covering search,attr = age,0.97,1.14,否
q_05291,department = 'R&D',brute-force fallback,N/A,0.951,4.61,是
q_05292,"age ∈ [20,60] AND gender = 'M'",root search,root,0.972,1.15,否
q_05293,city = 'Beijing',covering search,attr = income,0.927,0.47,否
q_05294,"income ∈ [50k, 100k] AND hobby = 'Music'",upward search,attr = B → root,0.929,1.03,否
q_05295,city = 'Beijing',covering search,attr = age,0.955,0.9,否
q_05296,department = 'R&D',covering search,attr = country,0.943,0.41,否
